Timestamp,What positive things have happened today (if any)?,What negative things have happened today (if any)?,Did you make the most of today?,How much fun did you have?,Are you happy with the quality of your work?,How productive have you felt outside of yourself?,Would you have preferred more or less social interaction?,How emotionally healthy did you feel throughout the day?,How close do you feel to being burned out?,How much personal time did you have?,Would you have preferred to have had more or less personal time?,Did you exercise?,,Is there any lesson or observation about life you want to remember from today?,Which of these values do you felt you actively lived today?,Any reflection about your mission statement?,Did you struggle with any of these values today?,Are there any relevant aspects you think this survey didn't touch on?,Are there any aspects of the survey you feel are not relevant?,"Give yourself grace. Get some good sleep.

Will you make the most of your day tomorrow?",Did you accomplish the goals you set out to do?,"If none, how much does that bother you?",What's been a small thing that's brought you joy today?,How much social cohesion did you feel?,Who has made a positive impact on your day?,,Are there any emotions you're processing right now you'd like to keep track of?,Are there any friend life events mentioned today you want to keep in mind for the future?,Any Karina things you want to remember?,Has there been any small thing you’ve done/thought about today that you’re proud of yourself for?,How well did you feel you had the time to do everything you wanted?,What do you want to do in order tomorrow morning?,What are your overall priorities tomorrow?,Thesis updates?,,Brand,,,,,,,,,,,,What's one thing you want to remember for tomorrow?
1/29/2023 0:22:07,"Dancing and playing with Karina while my AI renders we’re going, grabbing dinner with parents and Karina, having fun editing doodle footage together",,5,4,,5,3,5,3,3,3,Yes,,"Always good to get out for a run, set timers and stick to them for tasks so you don’t get complacent and stuck on one thing",,,,,,Yes,4,,Getting outside for walk and realizing how beautiful it was outside,5,Karina,,Feeling love for karina,,"Fun time taking photos on her phone, we danced together for a bit, dinner with parents, super great day all with her",Realizing importance of having dinner with parents and that it should be a priority,3,,,"AU work, reached out to actors, finally figured out some formatting stuff for my excel sheet",,,,,,,,,,,,,,
1/28/2023 0:26:41,"Finishing up thesis animation notes and getting renders to work, game night was a blast playing cards against humanity and mafia",,5,5,,5,3,5,1,5,3,,,,,,,,,Yes,4,,,5,"Karina, Kheyal, Demetrios, Ben Thomas, Jaeden, Rhea",,,,,,4,,,Got through all animation notes!! Issue with computer crashing but it was cause new memory cards don’t have proper drivers downloaded I think,,,,,,,,,,,,,,
1/27/2023 1:08:26,"Lunch with Alex chatting about CMF, rushing to drop off Amazon packages with Karina, watching inception with Kheyal and Jaeden, long convo about state of movie industry with them both after, connecting with draise",,5,5,,5,3,5,2,5,3,Yes,,It’s still very hard to not talk down to women. At least harder than I’d like. For instance in alex convo I just get the sense that I’m over explaining things in ways I wouldn’t do if it were a guy. How do I stop doing that?,,,,,,Yes,4,,Draise laughing at my joke of him going to be an adult when he does his bills,5,"Kheyal, Karina, Jaeden",,,Ben got into Princeton!,Really fun going to do errands with her and rushing and making her smile by how much I wanted her there,,4,,,Stumped with NLA editor but draise helped me figure it out some,,,,,,,,,,,,,,
1/26/2023 0:06:29,"Went for run and thought of new CMF idea which I’m excited about, kazama really loves rhesus which makes me excited to work on it, great club fair convo with first years about how they’re the future of the club",,5,5,,5,3,5,3,2,4,Yes,,Really good to push myself to go for run even if it’s raining and I’m tired,,,,,,Yes,5,,Seeing all the unique people around Emory at Asbury circle with the biker and the person walking by and thinking of the quote from finance lady about how these are the best times of our lives,5,"Demetrios, Karina, Kazama, Kheyal",,Feeling strongly about doing spring break with adway and trev cause I realized they’re the true friends who I talk about emotions with and whatnot,,,Taken night off to do person project work,4,"Run, professional, thesis",,Kazama gave great notes. Lot of good planning for future couple days of work. It’s grind season now!,,,,,,,,,,,,,,
1/25/2023 0:12:31,"Deep lunch convo with Jaeden about soulmates, fun banter about eating bell pepper with Rhea Ben and Nandish, feeling on top of my thesis stuff",,5,4,,4,3,3,4,2,5,,,I can be super hesitant with my words and say ‘I dintnknow’ as filler. Like in the ETV meeting I’m super tame. Don’t want that: want to say what I mean. Don’t want to stumble and put ahhhs and umms and hesitate when I need to call someone out,,,,,,Yes,3,,Dancing my way through DCT,5,"Karina, Nandish, Rhea, Jaeden, Ben, Anna",,Feeling a bit sad with how much I work,Ben has job interview tmr,Bumped into her in DCT with Audra. At bell pepper,,2,"Run and CMF brainstorm, doodle edit, linkedin, thesis setup",,Showed to Joel who loved it. Good critiques but overall thought it all really worked,,,,,,,,,,,,,,
1/24/2023 1:15:51,Recording podcast episode with Jaeden and Kheyal,,4,2,,4,3,3,5,2,5,,,,,,,,,Yes,2,,The smoke billowing out of building nearby while walking at night,4,,,,,,,2,1. Capstone readings 2. Thesis AI,,"Ton of AI rough work, Barba had idea to mention the complexity of the legal issue with AI in my thesis written component",,,,,,,,,,,,,,
1/23/2023 0:12:21,"Playing smash and watching my hero with Ben Dem and Diego, watching Last of Us with the gang",Stress with ETV planning stuff and coordinating things,4,4,,5,3,4,3,3,4,,,Really important to set timer to stop working and go for a walk cause it’s hard once you’re in the grind and when you get out for a walk it puts perspective on the work,,,,,,Yes,4,,The beautiful look rain gives to clairmont campus at night,5,"Karina, Demetrios, Diego, Ben Thomas",,Feeling uncertain with ETV delegation to Tyler,,"Worked at khaldi’s, watched Last of Us",,2,"1. QTM assignment, professional reachout, thesis prep",,Got rough of AI renders done today,,,,,,,,,,,,,,
1/22/2023 0:46:42,"Being very productive in Khaldi’s, mom picking me up and getting to catch up with her, Caleb convo about films in khaldi’s, watching train to Busan and being riveted with demetrios and will",Bit exhausted from working so long,5,3,,5,3,4,3,5,3,,,Still rolling over noor convo in head and just wish I could move past the whole thing tho it does feel a lot better now knowing that she’s a bit childish in how she reacts to things,,,,,,Yes,4,,,3,"Karina, Demetrios, Trevor, Mom, Jess",,,,"Stopped by khaldi’s and my place today, said little hellos",Taking breaks to walk outside,4,"Personal check in, go work on thesis and professional shir",,Ton of AI work and realizing I will likely have to fade together dif shots,,,,,,,,,,,,,,
1/21/2023 0:45:47,"Convo with Willa validating my feelings, game night playing cards against humanity and throwing around football",Noor anxiety and not having much time during day,3,5,,4,3,3,5,2,5,,,"When someone is talking don’t just call on someone else but give a sec to take in their words, also it’s incredibly validating to hear someone has a similar experience to you, especially with Noor I find it really hard to advocate and think positively about myself when a significant issue is how she handled it",,,,,,Yes,2,,Throwing football with friends in the dark,3,"Karina, Simran, Calla, Trev, Kheyal, Jaeden, Demetrios",,Feeling like I can believe in myself more,,,,1,"Sleep in, go to coffee shop to work",,Got idea to use video frames partly for some stuff tho not sure,,,,,,,,,,,,,,
1/20/2023 1:05:08,"Meeting Alex and bondering over art, watching Darjeeling unlimited and seeing Nandish and Demetrios","Noor text, overwhelmed with work and bouncing between things",2,2,,4,2,1,5,1,5,Yes,,"Can be hard to compartmentalize and easy to get in a rabbit hole of doing in the moment things if I don’t stop and write my priorities. I immediately assume the other person is right and have a hard time standing up for myself, and sometimes standing up for my own emotions means I shouldn’t be vulnerable about my anxiety to others like Noor",,,,,,Yes,2,,The wind rippling through flowers on cox bridge,2,"Alex, Demetrios, Kheyal, Nandish, Jaeden, Karina",,Absolutely overwhelmed and done with Noor situation,Nandish got into ga tech grad school!,,,1,1. Honors 2. Plan ETV,,No time,,,,,,,,,,,,,,
